A,B,C,D,A,B,C,D
0.584381849,0.742712588,0.699371178,0.649272148,0.529522447,0.585795644,0.582661875,0.512924493
0.619921841,0.793970918,0.688264114,0.692291276,0.542452455,0.697319133,0.57265797,0.625999511
0.63299944,0.811872429,0.70347038,0.708011425,0.556468323,0.715165637,0.581042045,0.631807061
0.6654278,0.840247679,0.813535027,0.71754171,0.467752758,0.579776842,0.565151755,0.545841554
0.673401243,0.855182937,0.818081312,0.734682202,0.51768537,0.669384955,0.67875245,0.558680192
0.689601054,0.857001584,0.818951186,0.738095396,0.505659914,0.654228178,0.495550224,0.575970486
0.708794062,0.862345465,0.82091489,0.794755379,0.504534776,0.682568731,0.401239266,0.514880616
0.805379351,0.885836725,0.821735935,0.803352211,0.682106318,0.545994859,0.478327824,0.566967685
0.815675137,0.902631929,0.824121286,0.868575281,0.688461496,0.661110158,0.488435633,0.730999122
0.821166394,0.903775369,0.826884045,0.871653704,0.690403535,0.688340332,0.508179151,0.734252729
0.872224763,0.916980322,0.827933184,0.880489195,0.761740459,0.716062681,0.504041495,0.712814648
0.876973368,0.922348299,0.830337815,0.897428525,0.76226813,0.753652455,0.493890956,0.73061351
0.879169742,0.923421788,0.836841336,0.903348179,0.766523046,0.752620849,0.498815046,0.732813149
0.879982601,0.924332976,0.837845496,0.904062504,0.77216201,0.754046671,0.50565013,0.730707591
0.881999188,0.924939156,0.837602345,0.905115096,0.780958293,0.769694751,0.517263979,0.738282161
0.883421701,0.927567118,0.840162017,0.907792062,0.783133226,0.779734089,0.542417337,0.748331052
0.88438129,0.928140898,0.839793321,0.910190543,0.786139672,0.777750756,0.551822145,0.753261648
0.892226769,0.933079635,0.904942059,0.931051319,0.788288526,0.776828499,0.692346645,0.772253671
0.896163356,0.939670316,0.911018571,0.943303591,0.790209575,0.786758355,0.699693356,0.775901787
0.896878262,0.939948871,0.913837689,0.943735661,0.791782889,0.78743803,0.700841058,0.78071425
