变量1,变量2,相关系数
Mean RBC,Minimum RBC,0.929367757
Mean RBC,Maximum RBC,0.92250023
Mean RBC,Mean Hemoglobin,0.866976303
Mean RBC,Minimum Hemoglobin,0.821860261
Mean RBC,Mean Hematocrit,0.89757117
Mean RBC,Minimum Hematocrit,0.827504662
Mean RBC,Maximum Hematocrit,0.819849925
Minimum RBC,Mean Hemoglobin,0.805415506
Minimum RBC,Minimum Hemoglobin,0.896852089
Minimum RBC,Mean Hematocrit,0.857694982
Minimum RBC,Minimum Hematocrit,0.917851507
Maximum RBC,Mean Hemoglobin,0.807777058
Maximum RBC,Maximum Hemoglobin,0.866962056
Maximum RBC,Mean Hematocrit,0.814777182
Maximum RBC,Maximum Hematocrit,0.895538103
Mean Hemoglobin,Minimum Hemoglobin,0.923718949
Mean Hemoglobin,Maximum Hemoglobin,0.92121961
Mean Hemoglobin,Mean Hematocrit,0.95541623
Mean Hemoglobin,Minimum Hematocrit,0.862786308
Mean Hemoglobin,Maximum Hematocrit,0.890898272
Minimum Hemoglobin,Mean Hematocrit,0.912669433
Minimum Hemoglobin,Minimum Hematocrit,0.958702501
Maximum Hemoglobin,Mean Hematocrit,0.854951342
Maximum Hemoglobin,Maximum Hematocrit,0.950638252
Mean Hematocrit,Minimum Hematocrit,0.926475367
Mean Hematocrit,Maximum Hematocrit,0.903946914
Mean RDW,Minimum RDW,0.978853913
Mean RDW,Maximum RDW,0.985569421
Minimum RDW,Maximum RDW,0.9463705
Mean MCH,Minimum MCH,0.986137457
Mean MCH,Maximum MCH,0.984903575
Minimum MCH,Maximum MCH,0.96369952
Mean MCV,Minimum MCV,0.981527649
Mean MCV,Maximum MCV,0.97295631
Minimum MCV,Maximum MCV,0.936462523
Mean MCHC,Minimum MCHC,0.948318772
Mean MCHC,Maximum MCHC,0.961649764
Minimum MCHC,Maximum MCHC,0.858117582
Mean Platelet,Minimum Platelet,0.966607893
Mean Platelet,Maximum Platelet,0.957121025
Minimum Platelet,Maximum Platelet,0.878908958
Mean WBC,Minimum WBC,0.882796392
Mean WBC,Maximum WBC,0.945314765
Mean AG,Minimum AG,0.864867352
Mean AG,Maximum AG,0.894652583
Mean BUN,Minimum BUN,0.948659493
Mean BUN,Maximum BUN,0.975744906
Minimum BUN,Maximum BUN,0.883206848
Mean Calcium,Minimum Calcium,0.875457127
Mean Calcium,Maximum Calcium,0.856643962
Mean Chloride,Minimum Chloride,0.899618244
Mean Chloride,Maximum Chloride,0.921380184
Mean Sodium,Minimum Sodium,0.900518309
Mean Sodium,Maximum Sodium,0.906914993
Mean Potassium,Maximum Potassium,0.845185775
Mean Glucose,Maximum Glucose,0.905705559
Mean Creatinine,Minimum Creatinine,0.955269911
Mean Creatinine,Maximum Creatinine,0.978145539
Minimum Creatinine,Maximum Creatinine,0.900035477
Mean INR,Minimum INR,0.847919777
Mean INR,Maximum INR,0.920644935
Mean INR,Mean PT,0.94100623
Mean INR,Minimum PT,0.822500282
Mean INR,Maximum PT,0.913718134
Minimum INR,Mean PT,0.858678812
Minimum INR,Minimum PT,0.959679188
Maximum INR,Mean PT,0.899161294
Maximum INR,Maximum PT,0.986657059
Mean PT,Minimum PT,0.878559238
Mean PT,Maximum PT,0.919231005
Mean PTT,Maximum PTT,0.894629729
